,timestamp,frame_number,video_name,x1,y1,x2,y2,center_x,center_y,prev_x,prev_y,distance_pixels,distance_meters,speed_ms,speed_kmh,video_sequence,global_frame_number,court_relative_x,court_relative_y,court_position_x_meters,court_position_y_meters,estimated_height_meters,distance_to_net_meters,court_region
1344,2024-01-01 00:00:07.065960,212,input_video_11.mp4,1180.803955078125,214.32920837402344,1193.79052734375,231.51136779785156,1187.2972412109375,222.9202880859375,1190.3347778320312,234.26483917236328,11.744167406717686,0.09585827116941445,2.8757481350824334,10.352693286296761,3,1344,0.8834056854248047,0.29486810593377977,9.690960369110108,7.006066196986608,1.9102637881324405,4.873933803013393,far_court
1345,2024-01-01 00:00:07.099290,213,input_video_11.mp4,1182.6361083984375,207.7803497314453,1192.3699951171875,219.0908660888672,1187.5030517578125,213.43560791015625,1187.2972412109375,222.9202880859375,9.486912881336206,0.0774341029079302,2.323023087237906,8.362883114056462,3,1345,0.883558818272182,0.28232223268539186,9.692640236445836,6.707976248604911,1.9353555346292164,5.1720237513950895,far_court
1347,2024-01-01 00:00:07.165950,215,input_video_11.mp4,895.4452514648438,618.047607421875,912.2303466796875,635.4603881835938,903.8377990722656,626.7539978027344,,,501.2963863868843,4.091682558529852,122.75047675589556,441.90171632122406,3,1347,0.6724983624049595,0.8290396796332465,7.377307035582406,19.697982788085938,1.158079359266493,7.817982788085937,near_court
1348,2024-01-01 00:00:07.199280,216,input_video_11.mp4,873.9142456054688,638.284423828125,895.6679077148438,659.1405029296875,884.7910766601562,648.7124633789062,903.8377990722656,626.7539978027344,29.06805540630255,0.2372593510469784,7.117780531409352,25.624009913073667,3,1348,0.6583266939435687,0.8580852690197173,7.221843832560949,20.388105991908482,1.2161705380394345,8.508105991908481,near_court
1349,2024-01-01 00:00:07.232610,217,input_video_11.mp4,860.0900268554688,645.889404296875,881.661865234375,670.2574462890625,870.8759460449219,658.0734252929688,884.7910766601562,648.7124633789062,16.77076229619756,0.13688635594441015,4.106590678332305,14.783726441996297,3,1349,0.6479731741405669,0.8704674937737682,7.108265720322019,20.682307652064733,1.2409349875475364,8.802307652064732,near_court
1352,2024-01-01 00:00:07.332600,220,input_video_11.mp4,822.558349609375,687.126953125,837.773681640625,703.3621826171875,830.166015625,695.2445678710938,,,55.12705574722976,0.4499581856749334,13.498745570248001,48.59548405289281,3,1352,0.6176830473400298,0.919635671787161,6.775983029320127,21.850543561662946,1.339271343574322,9.970543561662945,behind_near_baseline
1353,2024-01-01 00:00:07.365930,221,input_video_11.mp4,812.8359985351562,693.7373657226562,832.3270263671875,716.30908203125,822.5815124511719,705.0232238769531,830.166015625,695.2445678710938,12.375249560099325,0.10100929142432262,3.0302787427296787,10.909003473826843,3,1353,0.6120398158118838,0.9325704019536417,6.714076779456366,22.15787275041853,1.3651408039072834,10.27787275041853,behind_near_baseline
1354,2024-01-01 00:00:07.399260,222,input_video_11.mp4,797.4115600585938,717.6558837890625,814.825439453125,738.77197265625,806.1184997558594,728.2139282226562,822.5815124511719,705.0232238769531,28.44010469488174,0.23213389025509873,6.964016707652962,25.070460147550662,3,1354,0.5997905504135859,0.9632459368024554,6.579702338037038,22.886723458426342,1.4264918736049108,11.006723458426341,behind_near_baseline
1356,2024-01-01 00:00:07.465920,224,input_video_11.mp4,768.9204711914062,759.4070434570312,787.9991455078125,779.7727661132812,778.4598083496094,769.5899047851562,,,49.76921384557643,0.4062263957484922,12.186791872454766,43.87245074083716,3,1356,0.5792111669267926,1.01797606453063,6.353946501186916,24.18711129324777,1.5359521290612599,12.30711129324777,behind_near_baseline
1357,2024-01-01 00:00:07.499250,225,input_video_11.mp4,776.865966796875,717.3300170898438,796.8065185546875,738.3931884765625,786.8362426757812,727.8616027832031,778.4598083496094,769.5899047851562,42.56073119657222,0.34738930150773606,10.421679045232082,37.5180445628355,3,1357,0.5854436329432896,0.9627798978613797,6.422316653387887,22.875650373186385,1.4255597957227595,10.995650373186384,behind_near_baseline
1359,2024-01-01 00:00:07.565910,227,input_video_11.mp4,794.0425415039062,645.8488159179688,814.6254272460938,669.4090576171875,804.333984375,657.6289367675781,,,72.37954365865335,0.5907764835829071,17.723294507487214,63.80386022695397,3,1359,0.5984627859933036,0.86987954598886,6.565136762346541,20.668338012695315,1.23975909197772,8.788338012695315,near_court
1360,2024-01-01 00:00:07.599240,228,input_video_11.mp4,802.1651000976562,607.8372802734375,821.5535888671875,626.939453125,811.8593444824219,617.3883666992188,804.333984375,657.6289367675781,40.93817929723936,0.33414570453178255,10.024371135953476,36.08773608943252,3,1360,0.6040620122637067,0.8166512787026703,6.626560274532863,19.403634381975447,1.1333025574053406,7.523634381975446,near_court
1361,2024-01-01 00:00:07.632570,229,input_video_11.mp4,815.6656494140625,570.2180786132812,831.7080688476562,587.182373046875,823.6868591308594,578.7002258300781,811.8593444824219,617.3883666992188,40.45568373751051,0.33020747812536483,9.906224343760945,35.6624076375394,3,1361,0.6128622463771275,0.7654764891932251,6.723098842757089,18.18772138323103,1.0309529783864502,6.307721383231028,near_court
1362,2024-01-01 00:00:07.665900,230,input_video_11.mp4,817.920654296875,550.3412475585938,836.8665771484375,572.6372680664062,827.3936157226562,561.4892578125,823.6868591308594,578.7002258300781,17.605608894125947,0.14370054283375122,4.311016285012537,15.519658626045132,3,1362,0.615620249793643,0.7427106584821429,6.753354140236264,17.646805245535717,0.9854213169642858,5.766805245535716,near_court
1363,2024-01-01 00:00:07.699230,231,input_video_11.mp4,826.039306640625,523.3566284179688,842.9197998046875,537.5077514648438,834.4795532226562,530.4321899414062,827.3936157226562,561.4892578125,31.855171872140794,0.2600083597004349,7.800250791013047,28.08090284764697,3,1363,0.6208925247192383,0.701629880874876,6.811190996170044,16.670725969587053,0.903259761749752,4.7907259695870525,near_court
1369,2024-01-01 00:00:07.899210,237,input_video_11.mp4,864.4266357421875,401.8250427246094,878.4759521484375,415.1029357910156,871.4512939453125,408.4639892578125,,,127.44862333527466,1.040261456836282,31.20784370508846,112.34823733831846,3,1369,0.6484012603759766,0.5402962820870536,7.112961826324463,12.837439662388395,0.5805925641741072,0.9574396623883938,net_area
1371,2024-01-01 00:00:07.965870,239,input_video_11.mp4,871.6708374023438,379.7630310058594,882.8516235351562,392.2004699707031,877.26123046875,385.98175048828125,,,23.22081873010913,0.18953302192656038,5.685990657796811,20.46956636806852,3,1371,0.652724129813058,0.5105578710162451,7.160383704049247,12.130855015345983,0.5211157420324901,0.25085501534598187,net_area
1375,2024-01-01 00:00:08.099190,243,input_video_11.mp4,889.1182250976562,332.68560791015625,903.0888061523438,347.915283203125,896.103515625,340.3004455566406,,,49.414707630086944,0.40333284427236143,12.099985328170844,43.55994718141504,3,1375,0.6667436872209821,0.4501328644929109,7.314178248814174,10.695156860351563,1.5997342710141782,1.1848431396484376,net_area
1376,2024-01-01 00:00:08.132520,244,input_video_11.mp4,895.3753051757812,327.2961120605469,906.6926879882812,340.0549011230469,901.0339965820312,333.6755065917969,896.103515625,340.3004455566406,8.258296359150158,0.0674058862052658,2.022176586157974,7.279835710168707,3,1376,0.6704121998378209,0.441369717714017,7.354421832220895,10.486944492885044,1.617260564571966,1.3930555071149566,far_service_area
1377,2024-01-01 00:00:08.165850,245,input_video_11.mp4,897.4423828125,324.1624450683594,908.5535888671875,337.8237609863281,902.9979858398438,330.99310302734375,901.0339965820312,333.6755065917969,3.3245364620340268,0.02713553942597714,0.8140661827793142,2.9306382580055312,3,1377,0.6718735013689313,0.4378215648509838,7.370452310017177,10.402640380859376,1.6243568702980324,1.4773596191406249,far_service_area
1385,2024-01-01 00:00:08.432490,253,input_video_11.mp4,921.5408935546875,304.8014831542969,930.4281005859375,314.6234436035156,925.9844970703125,309.71246337890625,,,31.32483555256302,0.2556796473300717,7.670389419902151,27.613401911647745,3,1385,0.688976560320173,0.40967257060701884,7.558072866712298,9.733820277622769,1.6806548587859624,2.146179722377232,far_service_area
1386,2024-01-01 00:00:08.465820,254,input_video_11.mp4,921.5603637695312,304.3692321777344,931.7146606445312,314.9925842285156,926.6375122070312,309.680908203125,925.9844970703125,309.71246337890625,0.6537771010844547,0.005336261011083682,0.16008783033251045,0.5763161891970376,3,1386,0.6894624346778506,0.40963083095651454,7.5634029084160215,9.732828543526786,1.680738338086971,2.147171456473215,far_service_area
1391,2024-01-01 00:00:08.632470,259,input_video_11.mp4,934.220947265625,309.2342834472656,949.8901977539062,325.45550537109375,942.0555725097656,317.3448944091797,,,17.21781833059433,0.14053531777278258,4.216059533183477,15.177814319460518,3,1391,0.7009342057364327,0.4197683788481213,7.689248236928668,9.973696681431363,1.6604632423037575,1.9063033185686376,far_service_area
1392,2024-01-01 00:00:08.665800,260,input_video_11.mp4,935.1817016601562,309.623779296875,951.19775390625,328.39044189453125,943.1897277832031,319.0071105957031,942.0555725097656,317.3448944091797,2.012280009095804,0.016424636681384653,0.49273910044153957,1.7738607615895425,3,1392,0.7017780712672642,0.4219670775075438,7.698505441801889,10.025937761579241,1.6560658449849124,1.8540622384207595,far_service_area
1396,2024-01-01 00:00:08.799120,264,input_video_11.mp4,942.381591796875,278.572998046875,955.385009765625,292.7205505371094,948.88330078125,285.6467742919922,,,33.84270692159217,0.2762310230132932,8.286930690398796,29.832950485435667,3,1396,0.7060143607003349,0.3778396485343812,7.744977536882674,8.977470049176898,1.7443207029312378,2.9025299508231033,far_service_area
1397,2024-01-01 00:00:08.832450,265,input_video_11.mp4,943.698486328125,262.3193664550781,957.1473999023438,279.2846374511719,950.4229431152344,270.802001953125,948.88330078125,285.6467742919922,14.924401639911506,0.12181598659957532,3.6544795979872595,13.156126552754134,3,1397,0.7071599279131208,0.3582037062872024,7.757544409206935,8.51092006138393,1.7835925874255953,3.3690799386160712,far_service_area
1398,2024-01-01 00:00:08.865780,266,input_video_11.mp4,945.1557006835938,260.5910949707031,955.0924682617188,270.554443359375,950.1240844726562,265.57276916503906,950.4229431152344,270.802001953125,5.23776593981028,0.042751705624790755,1.2825511687437225,4.617184207477401,3,1398,0.7069375628516787,0.35128673169978714,7.755105064482916,8.346572745186943,1.7974265366004256,3.5334272548130574,far_service_area
1399,2024-01-01 00:00:08.899110,267,input_video_11.mp4,944.5079956054688,249.00526428222656,956.9967041015625,265.5333557128906,950.7523498535156,257.2693099975586,950.1240844726562,265.57276916503906,8.32719349689929,0.06796823858704257,2.039047157611277,7.340569767400598,3,1399,0.7074050222124372,0.34030332010259073,7.760233093670436,8.085606885637556,1.8193933597948186,3.7943931143624443,far_court
1401,2024-01-01 00:00:08.965770,269,input_video_11.mp4,945.50537109375,235.54537963867188,955.1722412109375,244.97434997558594,950.3388061523438,240.2598648071289,,,17.014471607399702,0.13887556066456455,4.166266819936936,14.998560551772972,3,1401,0.7070973260062081,0.31780405397768374,7.756857666288104,7.551024322509766,1.8643918920446325,4.328975677490234,far_court
1402,2024-01-01 00:00:08.999100,270,input_video_11.mp4,944.6506958007812,231.89891052246094,956.10888671875,243.81568908691406,950.3797912597656,237.8572998046875,950.3388061523438,240.2598648071289,2.402914557362924,0.019613074921332792,0.5883922476399838,2.1182120915039415,3,1402,0.7071278208778018,0.3146260579427083,7.757192195029486,7.47551513671875,1.8707478841145835,4.404484863281251,far_court
1407,2024-01-01 00:00:09.165750,275,input_video_11.mp4,897.7274780273438,254.57923889160156,913.4353637695312,269.2491455078125,905.5814208984375,261.91419219970703,,,50.84907136552516,0.415040411368907,12.45121234106721,44.82436442784196,3,1407,0.6737957000732422,0.3464473441795067,7.391538829803467,8.231588897705079,1.8071053116409868,3.648411102294922,far_court
1408,2024-01-01 00:00:09.199080,276,input_video_11.mp4,888.55029296875,261.9076843261719,904.4691162109375,281.136962890625,896.5097045898438,271.52232360839844,905.5814208984375,261.91419219970703,13.21409194573309,0.1078560927415863,3.235682782247589,11.648458016091322,3,1408,0.6670459111531576,0.35915651270952176,7.317493645350139,8.533558741978238,1.7816869745809565,3.3464412580217626,far_service_area
1410,2024-01-01 00:00:09.265740,278,input_video_11.mp4,873.3306884765625,285.5590515136719,886.4271240234375,299.3630065917969,879.87890625,292.4610290527344,,,26.739723990819595,0.2182550388238772,6.547651164716316,23.571544192978738,3,1410,0.6546718052455357,0.3868532130327174,7.181749703543527,9.191632341657366,1.7262935739345653,2.688367658342635,far_service_area
1412,2024-01-01 00:00:09.332400,280,input_video_11.mp4,849.5805053710938,320.237548828125,864.5323486328125,337.7112731933594,857.0564270019531,328.9744110107422,,,43.059175805383234,0.3514577072805462,10.543731218416386,37.95743238629899,3,1412,0.6376907939002627,0.4351513373157965,6.995468009085883,10.339195774623326,1.629697325368407,1.5408042253766752,far_service_area
1413,2024-01-01 00:00:09.365730,281,input_video_11.mp4,845.5717163085938,329.2499694824219,860.6921997070312,345.46954345703125,853.1319580078125,337.35975646972656,857.0564270019531,328.9744110107422,9.258265245308163,0.07556783462874297,2.2670350388622893,8.161326139904242,3,1413,0.6347708020891462,0.4462430641133949,6.963435698917934,10.602735203334264,1.60751387177321,1.2772647966657367,far_service_area
1415,2024-01-01 00:00:09.432390,283,input_video_11.mp4,823.5110473632812,374.7706604003906,836.6864013671875,388.9851379394531,830.0987243652344,381.8778991699219,,,50.123795561674555,0.40912056347587045,12.273616904276114,44.185020855394015,3,1415,0.6176329794384184,0.5051294962565104,6.775433784439451,12.001876831054688,0.5102589925130208,0.12187683105468672,net_area
1420,2024-01-01 00:00:09.599040,288,input_video_11.mp4,776.7041015625,489.8280944824219,792.926513671875,507.3977966308594,784.8153076171875,498.6129455566406,,,125.21045837823081,1.0219931014949346,30.659793044848037,110.37525496145294,3,1420,0.583939961024693,0.6595409332759796,6.405821372440883,15.670692574637277,0.8190818665519592,3.7906925746372764,near_court
1421,2024-01-01 00:00:09.632370,289,input_video_11.mp4,766.025390625,524.4882202148438,783.5216674804688,543.3444213867188,774.7735290527344,533.9163208007812,784.8153076171875,498.6129455566406,36.70375485377635,0.2995834752573859,8.987504257721577,32.35501532779768,3,1421,0.5764683995928083,0.706238519577753,6.323858343533107,16.780227225167412,0.9124770391555059,4.900227225167411,near_court
1422,2024-01-01 00:00:09.665700,290,input_video_11.mp4,761.31787109375,541.3094482421875,781.3789672851562,559.879638671875,771.3484191894531,550.5945434570312,774.7735290527344,533.9163208007812,17.026288161164114,0.13897200976783508,4.169160293035052,15.008977054926188,3,1422,0.5739199547540574,0.7282996606574488,6.295901903652011,17.304399937220985,0.9565993213148976,5.424399937220985,near_court
1423,2024-01-01 00:00:09.699030,291,input_video_11.mp4,748.7648315429688,580.1265258789062,766.3665771484375,601.5238647460938,757.5657043457031,590.8251953125,771.3484191894531,550.5945434570312,42.52609289812618,0.3471065767056877,10.41319730117063,37.48751028421427,3,1423,0.5636649585905529,0.781514808614418,6.183404595738366,18.568791852678572,1.063029617228836,6.6887918526785715,near_court
1424,2024-01-01 00:00:09.732360,292,input_video_11.mp4,739.629150390625,620.2551879882812,757.6881103515625,637.8256225585938,748.6586303710938,629.0404052734375,757.5657043457031,590.8251953125,39.23949845688271,0.32028072773214533,9.60842183196436,34.5903185950717,3,1424,0.5570376714070638,0.8320640281394676,6.1107032553354905,19.76984130859375,1.1641280562789351,7.88984130859375,near_court
1425,2024-01-01 00:00:09.765690,293,input_video_11.mp4,729.3004760742188,640.357177734375,749.5629272460938,661.0509033203125,739.4317016601562,650.7040405273438,748.6586303710938,629.0404052734375,23.54674724566033,0.19219331643221269,5.765799492966381,20.75687817467897,3,1425,0.5501723970685687,0.8607196303271742,6.035391195842199,20.450698416573662,1.2214392606543485,8.570698416573661,near_court
